Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
1;0.01704097343953846;-0.00030031399700994305;0.01704361945901912;0.01704097343953846;-0.00030031399700994305;-1.0096221111498276
1.022407;0.01699673542340079;-0.0002184924508820617;0.01699813972186897;0.01699673542340079;-0.0002184924508820617;-0.7364947135717079
1.045316;0.01710336177096985;-0.0001379138591487532;0.01710391779976793;0.01710336177096985;-0.0001379138591487532;-0.46199752514328946
1.068738;0.017098462179887555;-0.00031334125129917935;0.017101333037421697;0.017098462179887555;-0.00031334125129917935;-1.0498676268224052
1.092685;0.016921177688712267;-0.0002878793637285725;0.01692362635196826;0.016921177688712267;-0.0002878793637285725;-0.9746769260344029
1.117168;0.01699188843101867;-0.0001269583265923974;0.01699236272178996;0.01699188843101867;-0.0001269583265923974;-0.42808902367317836
1.1422;0.017041017033146713;-0.00010446224055817023;0.01704133720937705;0.017041017033146713;-0.00010446224055817023;-0.35122143956339263
1.167793;0.01687029783353105;-1.3738366988388649E-05;0.016870303427465965;0.01687029783353105;-1.3738366988388649E-05;-0.04665894340450084
1.19396;0.016938093589909296;-2.864603378276315E-05;0.016938117813257113;0.016938093589909296;-2.864603378276315E-05;-0.09689964587849574
1.220713;0.016933455946913076;0.00012971602757760273;0.016933952774052973;0.016933455946913076;0.00012971602757760273;0.4388965588808154
1.248065;0.017133620910810735;6.151272225510971E-05;0.017133731331218253;0.017133620910810735;6.151272225510971E-05;0.2057010743689369
1.27603;0.01697806744544587;7.212627750558276E-05;0.016978220648289844;0.01697806744544587;7.212627750558276E-05;0.24340263969152756
1.304622;0.0168607943197461;1.8078852993904336E-05;0.016860804012196688;0.0168607943197461;1.8078852993904336E-05;0.06143492165165178
1.333854;0.01704539532196412;0.00013413121935413466;0.017045923057025743;0.01704539532196412;0.00013413121935413466;0.45085455653967743
1.363741;0.016857381133949766;0.00017265210690582298;0.016858265256107;0.016857381133949766;0.00017265210690582298;0.5867988096052376
1.394298;0.01694134532018337;9.621777771059649E-05;0.016941618550730224;0.01694134532018337;9.621777771059649E-05;0.32540587532476956
1.42554;0.01691566143015;0.0002050305157947399;0.01691690394640436;0.01691566143015;0.0002050305157947399;0.6944338562288888
1.457482;0.01688907655385191;6.742382208053863E-05;0.01688921113651121;0.01688907655385191;6.742382208053863E-05;0.22873245374087464
1.490139;0.01686984398016841;0.00020069030623562662;0.01687103768338632;0.01686984398016841;0.00020069030623562662;0.6815810002548547
1.523528;0.01702310902764662;0.00010415280496252208;0.017023427644687936;0.01702310902764662;0.00010415280496252208;0.3505494606460364
1.557666;0.0170255983951121;0.00010690889770449925;0.0170259340485053;0.0170255983951121;0.00010690889770449925;0.3597728539567196
1.592568;0.017013658578563174;0.00021124666152663377;0.017014969978813434;0.017013658578563174;0.00021124666152663377;0.7113649403884278
1.628252;0.016840453708381168;0.00016280577455026287;0.01684124065573424;0.016840453708381168;0.00016280577455026287;0.5538920349070902
1.664736;0.017007906979958663;0.00020981719436455063;0.017009201130387563;0.017007906979958663;0.00020981719436455063;0.7067906666262267
1.702037;0.017131686885178427;5.367423962319098E-06;0.01713168772599578;0.017131686885178427;5.367423962319098E-06;0.017950989409104598
1.740175;0.016965766359648127;5.5651231659020274E-05;0.01696585763319241;0.016965766359648127;5.5651231659020274E-05;0.18794136351558818
1.779166;0.017080928650515692;9.818706424737345E-05;0.017081210854725533;0.017080928650515692;9.818706424737345E-05;0.3293522580785523
1.819032;0.016843006780109037;5.1542953556976654E-05;0.016843085645773474;0.016843006780109037;5.1542953556976654E-05;0.17533594341869518
1.85979;0.016968977981867955;8.3705565299399E-05;0.016969184434461826;0.016968977981867955;8.3705565299399E-05;0.2826296739143544
1.901462;0.016954753706810034;5.424245628886628E-05;0.016954840474113955;0.016954753706810034;5.424245628886628E-05;0.18330276372012366
1.944068;0.016893309583245735;3.673462209642098E-05;0.01689334952304731;0.016893309583245735;3.673462209642098E-05;0.12458988455546725
1.987628;0.016991078215886853;6.797863174629985E-05;0.016991214201249973;0.016991078215886853;6.797863174629985E-05;0.22923017982468688
