Frequency (Hz);Trace 1: Impedance: Real (Ω);Trace 1: Impedance: Imaginary (Ω);Trace 1: Impedance: Magnitude (Ω);Trace 2: Impedance: Real (Ω);Trace 2: Impedance: Imaginary (Ω);Trace 2: Impedance: Phase (°)
1;0.01775022023343699;-1.3179044064242493E-05;0.017750225125972862;0.01775022023343699;-1.3179044064242493E-05;-0.04254051241131195
1.022407;0.017598209626380402;-0.0002916756240980925;0.01760062660031514;0.017598209626380402;-0.0002916756240980925;-0.9495427430439404
1.045316;0.01767837554352372;-9.884571313670678E-05;0.017678651881092716;0.01767837554352372;-9.884571313670678E-05;-0.3203565369501301
1.068738;0.017678852340860748;-0.0001023691399382438;0.01767914872189182;0.017678852340860748;-0.0001023691399382438;-0.33176667833950674
1.092685;0.01767087637622324;-3.742852283698435E-05;0.017670916014686004;0.01767087637622324;-3.742852283698435E-05;-0.12135748897572565
1.117168;0.017644280980938818;5.2840668742166016E-05;0.017644360103743987;0.017644280980938818;5.2840668742166016E-05;0.1715875108686407
1.1422;0.017623776917717143;0.00011805139169119536;0.01762417229195572;0.017623776917717143;0.00011805139169119536;0.383785234119188
1.167793;0.017494580075977036;2.077510134465922E-05;0.017494592411359818;0.017494580075977036;2.077510134465922E-05;0.06803964778268644
1.19396;0.01762660277999397;0.0001840340123302533;0.0176275634754604;0.01762660277999397;0.0001840340123302533;0.5981861172695607
1.220713;0.01750367956525776;0.00029230725450273736;0.017506120125666248;0.01750367956525776;0.00029230725450273736;0.9567368563545482
1.248065;0.017615359767440757;0.00011984032817834851;0.017615767409926493;0.017615359767440757;0.00011984032817834851;0.3897870484417094
1.27603;0.017494307531938303;0.00020268990380150812;0.01749548168011205;0.017494307531938303;0.00020268990380150812;0.6638020062483286
1.304622;0.017541264341978217;0.00017446635089838876;0.017542131946338572;0.017541264341978217;0.00017446635089838876;0.5698480894764737
1.333854;0.017580228384061994;0.0001716009557012115;0.017581065864269337;0.017580228384061994;0.0001716009557012115;0.559247472141713
1.363741;0.01737619886933698;0.0001898742760871622;0.017377236241343654;0.01737619886933698;0.0001898742760871622;0.6260610717227206
1.394298;0.017461110719740772;0.00018797187545647177;0.01746212246529639;0.017461110719740772;0.00018797187545647177;0.6167751462931682
1.42554;0.01739224616638938;0.00021676249104166638;0.017393596887642554;0.01739224616638938;0.00021676249104166638;0.7140499730723446
1.457482;0.01761966173988487;0.00019260292507651718;0.01762071439285907;0.01761966173988487;0.00019260292507651718;0.626283034642795
1.490139;0.017533165093614182;0.0002387813317650763;0.017534790980343346;0.017533165093614182;0.0002387813317650763;0.7802536923676171
1.523528;0.017399610692559072;0.0001387197565351846;0.017400163660824263;0.017399610692559072;0.0001387197565351846;0.4567854036089184
1.557666;0.017488054141211448;0.0003455446389216657;0.017491467598330063;0.017488054141211448;0.0003455446389216657;1.1319540403281985
1.592568;0.017439889090206027;0.00023978462662635697;0.017441537436414644;0.017439889090206027;0.00023978462662635697;0.7877218372172186
1.628252;0.0174782198791379;0.00024406097702447087;0.017479923795714825;0.0174782198791379;0.00024406097702447087;0.8000102561832507
1.664736;0.017302163722280686;0.00022524728578634487;0.017303629844988015;0.017302163722280686;0.00022524728578634487;0.7458598830061208
1.702037;0.01735315622976109;0.00016965285233115513;0.017353985514134793;0.01735315622976109;0.00016965285233115513;0.5601334200802522
1.740175;0.01752316668515909;0.00028896864528848006;0.01752554916554198;0.01752316668515909;0.00028896864528848006;0.9447597862753346
1.779166;0.01726873720954969;0.0002785470640666335;0.017270983564330843;0.01726873720954969;0.0002785470640666335;0.9241085240955467
1.819032;0.017568609918523565;0.0002157245401414887;0.01756993430683404;0.017568609918523565;0.0002157245401414887;0.7034981486813127
1.85979;0.01726204843270229;9.387709355232546E-05;0.017262303699149006;0.01726204843270229;9.387709355232546E-05;0.31159153843118226
1.901462;0.017509191541958874;-9.549501146318538E-06;0.017509194146104395;0.017509191541958874;-9.549501146318538E-06;-0.03124907603967839
1.944068;0.017435611827036866;0.00010952618071449474;0.017435955831768147;0.017435611827036866;0.00010952618071449474;0.3599131147346097
1.987628;0.01753919987230987;-7.404780331449632E-05;0.017539356180829736;0.01753919987230987;-7.404780331449632E-05;-0.24189252853350454
2.032164;0.017511696670267085;0.00014776157433295665;0.017512320056300157;0.017511696670267085;0.00014776157433295665;0.48344337094052725
2.077698;0.017414484581147638;0.00015427893809172037;0.01741516796409864;0.017414484581147638;0.00015427893809172037;0.5075832552130443
2.124253;0.017423978992456568;0.00010621505208248059;0.01742430272828318;0.017423978992456568;0.00010621505208248059;0.3492657347602487
2.171851;0.017462390157054482;0.00019456636405819347;0.01746347405493008;0.017462390157054482;0.00019456636405819347;0.6383645145448353
2.220515;0.017540103465702214;0.0001735862277325308;0.01754096239566111;0.017540103465702214;0.0001735862277325308;0.5670111107817152
